[2019-07-15 16:18:47] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:19:05] [Info] Direct connect safebrowsing.googleapis.com:443
[2019-07-15 16:19:39] [Info] Connect clients4.google.com:443
[2019-07-15 16:19:39] [Info] Connect clients4.google.com:443
[2019-07-15 16:19:39] [Info] Connect clients4.google.com:443
[2019-07-15 16:19:40] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:20:37] [Info] Connect clients4.google.com:443
[2019-07-15 16:20:37] [Info] Connect clients4.google.com:443
[2019-07-15 16:20:38] [Info] Connect clients4.google.com:443
[2019-07-15 16:20:38] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:20:59] [Info] Direct connect ldc.lenovo.com.cn:443
[2019-07-15 16:20:59] [Info] Direct connect osfsr.lenovomm.com:443
[2019-07-15 16:20:59] [Info] Direct connect osfsr.lenovomm.com:443
[2019-07-15 16:21:41] [Info] Connect clients4.google.com:443
[2019-07-15 16:21:41] [Info] Connect clients4.google.com:443
[2019-07-15 16:21:42] [Info] Connect clients4.google.com:443
[2019-07-15 16:21:42] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:22:36] [Info] Connect az764295.vo.msecnd.net:443
[2019-07-15 16:22:36] [Info] Connect az764295.vo.msecnd.net:443
[2019-07-15 16:22:36] [Info] Connect az764295.vo.msecnd.net:443
[2019-07-15 16:22:36] [Info] Disconnect az764295.vo.msecnd.net:443
[2019-07-15 16:22:51] [Info] Connect clients4.google.com:443
[2019-07-15 16:22:52] [Info] Connect clients4.google.com:443
[2019-07-15 16:22:52] [Info] Connect clients4.google.com:443
[2019-07-15 16:22:52] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:23:36] [Info] Direct connect safebrowsing.googleapis.com:443
[2019-07-15 16:23:55] [Info] Direct connect tile-service.weather.msn.cn:443
[2019-07-15 16:23:55] [Info] Direct connect service.weather.msn.cn:443
[2019-07-15 16:23:55] [Info] Direct connect tile-service.weather.msn.cn:443
[2019-07-15 16:24:09] [Info] Connect clients4.google.com:443
[2019-07-15 16:24:09] [Info] Connect clients4.google.com:443
[2019-07-15 16:24:09] [Info] Connect clients4.google.com:443
[2019-07-15 16:24:09] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:25:34] [Info] Connect clients4.google.com:443
[2019-07-15 16:25:34] [Info] Connect clients4.google.com:443
[2019-07-15 16:25:34] [Info] Connect clients4.google.com:443
[2019-07-15 16:25:34] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:27:07] [Info] Connect clients4.google.com:443
[2019-07-15 16:27:07] [Info] Connect clients4.google.com:443
[2019-07-15 16:27:07] [Info] Connect clients4.google.com:443
[2019-07-15 16:27:08] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:27:35] [Info] Connect array704-prod.do.dsp.mp.microsoft.com:443
[2019-07-15 16:27:35] [Info] Connect array704-prod.do.dsp.mp.microsoft.com:443
[2019-07-15 16:27:35] [Info] Connect array704-prod.do.dsp.mp.microsoft.com:443
[2019-07-15 16:27:35] [Info] Disconnect array704-prod.do.dsp.mp.microsoft.com:443
[2019-07-15 16:27:37] [Info] Connect az764295.vo.msecnd.net:443
[2019-07-15 16:27:37] [Info] Connect az764295.vo.msecnd.net:443
[2019-07-15 16:27:37] [Info] Connect az764295.vo.msecnd.net:443
[2019-07-15 16:27:37] [Info] Disconnect az764295.vo.msecnd.net:443
[2019-07-15 16:28:33] [Info] Connect v10.events.data.microsoft.com:443
[2019-07-15 16:28:33] [Info] Connect v10.events.data.microsoft.com:443
[2019-07-15 16:28:33] [Info] Connect v10.events.data.microsoft.com:443
[2019-07-15 16:28:33] [Info] Disconnect v10.events.data.microsoft.com:443
[2019-07-15 16:28:50] [Info] Connect clients4.google.com:443
[2019-07-15 16:28:50] [Info] Connect clients4.google.com:443
[2019-07-15 16:28:50] [Info] Connect clients4.google.com:443
[2019-07-15 16:28:50] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:29:26] [Info] Direct connect clientservices.googleapis.com:443
[2019-07-15 16:30:42] [Info] Connect clients4.google.com:443
[2019-07-15 16:30:43] [Info] Connect clients4.google.com:443
[2019-07-15 16:30:43] [Info] Connect clients4.google.com:443
[2019-07-15 16:30:43] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:32:37] [Info] Connect az764295.vo.msecnd.net:443
[2019-07-15 16:32:37] [Info] Connect az764295.vo.msecnd.net:443
[2019-07-15 16:32:38] [Info] Connect az764295.vo.msecnd.net:443
[2019-07-15 16:32:38] [Info] Disconnect az764295.vo.msecnd.net:443
[2019-07-15 16:32:46] [Info] Connect clients4.google.com:443
[2019-07-15 16:32:47] [Info] Connect clients4.google.com:443
[2019-07-15 16:32:47] [Info] Connect clients4.google.com:443
[2019-07-15 16:32:47] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:35:03] [Info] Connect clients4.google.com:443
[2019-07-15 16:35:03] [Info] Connect clients4.google.com:443
[2019-07-15 16:35:03] [Info] Connect clients4.google.com:443
[2019-07-15 16:35:03] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:37:54] [Info] Connect www.google.com:443
[2019-07-15 16:37:54] [Info] Direct connect www.gstatic.com:443
[2019-07-15 16:37:54] [Info] Direct connect ssl.gstatic.com:443
[2019-07-15 16:37:54] [Info] Connect lh3.googleusercontent.com:443
[2019-07-15 16:37:54] [Info] Connect apis.google.com:443
[2019-07-15 16:37:54] [Info] Connect lh4.googleusercontent.com:443
[2019-07-15 16:37:55] [Info] Connect encrypted-tbn3.gstatic.com:443
[2019-07-15 16:37:55] [Info] Connect encrypted-tbn2.gstatic.com:443
[2019-07-15 16:37:55] [Info] Connect verdict.valkyrie.comodo.com:443
[2019-07-15 16:37:55] [Info] Connect www.google.com:443
[2019-07-15 16:37:55] [Info] Connect lh3.googleusercontent.com:443
[2019-07-15 16:37:55] [Info] Connect apis.google.com:443
[2019-07-15 16:37:55] [Info] Connect encrypted-tbn3.gstatic.com:443
[2019-07-15 16:37:55] [Info] Connect encrypted-tbn2.gstatic.com:443
[2019-07-15 16:37:55] [Info] Connect lh4.googleusercontent.com:443
[2019-07-15 16:37:55] [Info] Connect verdict.valkyrie.comodo.com:443
[2019-07-15 16:37:55] [Info] Connect www.google.com:443
[2019-07-15 16:37:55] [Info] Connect lh3.googleusercontent.com:443
[2019-07-15 16:37:55] [Info] Connect encrypted-tbn3.gstatic.com:443
[2019-07-15 16:37:55] [Info] Connect encrypted-tbn2.gstatic.com:443
[2019-07-15 16:37:55] [Info] Connect verdict.valkyrie.comodo.com:443
[2019-07-15 16:37:55] [Info] Connect lh4.googleusercontent.com:443
[2019-07-15 16:37:55] [Info] Connect apis.google.com:443
[2019-07-15 16:37:55] [Info] Disconnect www.google.com:443
[2019-07-15 16:37:55] [Info] Disconnect lh3.googleusercontent.com:443
